"","Year","Carpark","Chill.Out","Age","Tenure_Bin","Age.65.and.above.of.total.residents","Resident.in.Condominiums.and.Other.Apartments.of.total.residents","Monthly.Household.Income.8000.and.above.of.Total.Households","Tenants.of.total.households","Uni.Qualification.of.total","URA.growth.area.km","hawker.centre.and.market.km","MRT.station.km","park.km","top.primary.school.km","shopping.mall.km","bus.stop.km","bus.interchange.km","TransactionPricePerUnit","Area.Sqm.Unit"
"2031",2015,1,0,16,2,0.171425748,0.165398676,0.2420928,0.262192028,0.213827211,3.972449896,0.723351877,0.354931634,0.266944816,2.63098183,0.276252293,0.140708296,2.287137918,1390200,137
"2032",2013,1,0,8,2,0.120822275,0.097296568,0.289716625,0.060303444,0.189969158,5.119771005,1.006987995,0.9083401,0.509907013,1.298337059,0.900292778,0.409105677,1.304665756,1050000,92
"2033",2015,1,0,10,2,0.120822275,0.097296568,0.289716625,0.060303444,0.189969158,5.119771005,1.006987995,0.9083401,0.509907013,1.298337059,0.900292778,0.409105677,1.304665756,838000,70
"2034",2013,1,0,30,2,0.152948531,0.367784955,0.393371474,0.183270862,0.347380541,4.816339236,0.478735494,0.947628475,0.604757785,1.383752838,0.881534894,0.085837615,0.748813402,1352500,122
"2035",2014,1,0,31,2,0.152948531,0.367784955,0.393371474,0.183270862,0.347380541,4.816339236,0.478735494,0.947628475,0.604757785,1.383752838,0.881534894,0.085837615,0.748813402,1436000,135
"2036",2015,1,0,32,2,0.152948531,0.367784955,0.393371474,0.183270862,0.347380541,4.816339236,0.478735494,0.947628475,0.604757785,1.383752838,0.881534894,0.085837615,0.748813402,1306296,124.333333333333
"2037",2015,1,0,16,2,0.134399118,0.156670342,0.441526751,0.08158211,0.322616067,7.363687335,0.09944816,0.491156984,0.216926821,1.87747027,0.646806038,0.057746888,1.528548035,1650000,199
"2038",2013,1,0,36.5925925925926,1,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,3.46484844025926,0.706237414703704,0.779894894259259,0.330473971666667,1.79741011677778,1.93305168988889,0.138105550185185,2.64693569181481,1187888.88888889,135.62962962963
"2039",2014,1,0,39,1,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,3.45557389509091,0.696250811181818,0.770108854363636,0.323633995545455,1.80041712445455,1.92278872754545,0.145218454272727,2.638646872,1138181.81818182,136.545454545455
"2040",2015,1,0,40,1,0.145504745,0.168041415,0.321022976,0.121535999,0.245962481,3.4721583305,0.708811104083333,0.7839372645,0.327648657333333,1.806596447,1.93498314125,0.132630224416667,2.65553217266667,1080000,137.833333333333
"2041",2013,1,0,23,2,0.152948531,0.367784955,0.393371474,0.183270862,0.347380541,4.729142886,0.404805914,0.993504425,0.65160075,1.357873576,0.950389128,0.092156134,0.792648309,1500000,135
